,Voltage,Current (Mean),Current (Std)
87,1.8500000000000005,b'+2.571349E-07\n',b'+2.581734E-10\n'
88,1.9000000000000004,b'+2.663649E-07\n',b'+2.234097E-10\n'
89,1.9500000000000002,b'+2.730482E-07\n',b'+2.389081E-10\n'
90,2.0,b'+2.763861E-07\n',b'+2.785831E-10\n'
91,2.05,b'+2.834382E-07\n',b'+2.840450E-10\n'
92,2.1000000000000005,b'+2.900879E-07\n',b'+2.265437E-10\n'
93,2.1500000000000004,b'+2.979709E-07\n',b'+6.974628E-10\n'
94,2.2,b'+3.057275E-07\n',b'+3.009563E-10\n'
95,2.25,b'+3.094634E-07\n',b'+1.013353E-09\n'
96,2.3000000000000007,b'+3.160515E-07\n',b'+4.621589E-10\n'
97,2.3500000000000005,b'+3.223830E-07\n',b'+6.594878E-10\n'
98,2.4000000000000004,b'+3.309887E-07\n',b'+1.016457E-09\n'
99,2.45,b'+3.389309E-07\n',b'+3.618704E-10\n'
